From,To
dog,canine
dog,domestic_animal
dog,basenji
dog,corgi
dog,cur
dog,dalmatian
dog,great_pyrenees
dog,griffon
dog,hunting_dog
dog,lapdog
dog,leonberg
dog,mexican_hairless
dog,newfoundland
dog,pooch
dog,poodle
dog,pug
dog,puppy
dog,spitz
dog,toy_dog
dog,working_dog
dog,unpleasant_woman
dog,chap
dog,villain
dog,perisher
dog,sausage
dog,vienna_sausage
dog,catch
dog,support
dog,pursue
dog,hound
dog,quest
dog,run_down
dog,tree
cat,feline
cat,domestic_cat
cat,wildcat
cat,man
cat,sod
cat,gossip
cat,woman
cat,stimulant
cat,whip
cat,tracked_vehicle
cat,cheetah
cat,jaguar
cat,leopard
cat,liger
cat,lion
cat,saber-toothed_tiger
cat,snow_leopard
cat,tiger
cat,tiglon
cat,x-raying
cat,flog
cat,excrete
bridge,structure
bridge,bailey_bridge
bridge,cantilever_bridge
bridge,cattle_guard
bridge,covered_bridge
bridge,drawbridge
bridge,footbridge
bridge,overpass
bridge,pontoon_bridge
bridge,rope_bridge
bridge,steel_arch_bridge
bridge,suspension_bridge
bridge,toll_bridge
bridge,trestle_bridge
bridge,truss_bridge
bridge,viaduct
bridge,circuit
bridge,wheatstone_bridge
bridge,connection
bridge,card_game
bridge,auction
bridge,bridge_whist
bridge,contract
bridge,support
bridge,denture
bridge,link
bridge,upper_deck
bridge,conning_tower
bridge,flying_bridge
bridge,connect
bridge,join
bridge,traverse
goldfish,cyprinid
goldfish,silverfish
vole,wood_rat
vole,grasshopper_mouse
vole,meadow_vole
vole,phenacomys
vole,pine_vole
vole,prairie_vole
vole,red-backed_mouse
vole,water_vole
